department,product_name,seller_unit,price,discount,upc,url
Beauty,Suave Essentials Sweet Pea & Violet Body Wash,15 fl oz,$1.99,,0007940084860,https://www.kroger.com/p/suave-essentials-sweet-pea-violet-body-wash/0007940084860?fulfillment=PICKUP
Beauty,Dove Moisturizing Deep Moisture Body Wash,22 fl oz,7.49,,0001111112425,https://www.kroger.com/p/dove-moisturizing-deep-moisture-body-wash/0001111112425?fulfillment=PICKUP
Beauty,Aussie Instant Freeze Hairspray,10 oz,3.49,,0038151918641,https://www.kroger.com/p/aussie-instant-freeze-hairspray/0038151918641?fulfillment=PICKUP
Beauty,Neutrogena Makeup Remover Cleansing Towelettes & Face Wipes,25 ct,$5.99," Buy 2, Get 1 Free",0007050105105,https://www.kroger.com/p/neutrogena-makeup-remover-cleansing-towelettes-face-wipes/0007050105105?fulfillment=PICKUP
Beauty,Dove Original Beauty Bar,4 ct / 3.75 oz,6.99,,0001111161069,https://www.kroger.com/p/dove-original-beauty-bar/0001111161069?fulfillment=PICKUP
Beauty,Suave Essentials Creamy Cocoa Butter and Shea Body Wash,15 fl oz,$1.99,,0007940060286,https://www.kroger.com/p/suave-essentials-creamy-cocoa-butter-and-shea-body-wash/0007940060286?fulfillment=PICKUP
Beauty,Dove For Sensitive Skin Hypoallergenic Body Wash,34 fl oz,$9.97,,0001111139649,https://www.kroger.com/p/dove-for-sensitive-skin-hypoallergenic-body-wash/0001111139649?fulfillment=PICKUP
Beauty,Suave Essentials Ocean Breeze Refreshing Body Wash,15 fl oz,$1.99,,0007940083500,https://www.kroger.com/p/suave-essentials-ocean-breeze-refreshing-body-wash/0007940083500?fulfillment=PICKUP
Beauty,Dial Gold Antibacterial Deodorant Soap Bars,,,,0001700002402,https://www.kroger.com/p/dial-gold-antibacterial-deodorant-soap-bars/0001700002402?fulfillment=PICKUP
Beauty,Aussie Headstrong Volume Maximum Hold Hairspray,10 oz,$3.99,,0038151901792,https://www.kroger.com/p/aussie-headstrong-volume-maximum-hold-hairspray/0038151901792?fulfillment=PICKUP
Beauty,Dove Beauty Bar Original Gentle Skin Cleanser,2 ct / 3.75 fl oz,3.99,,0001111161133,https://www.kroger.com/p/dove-beauty-bar-original-gentle-skin-cleanser/0001111161133?fulfillment=PICKUP
Beauty,SheaMoisture Coconut and Hibiscus Curl Mousse,7.5 oz,$11.52,,0076430229061,https://www.kroger.com/p/sheamoisture-coconut-and-hibiscus-curl-mousse/0076430229061?fulfillment=PICKUP
Beauty,Aussie Sprunch with Jojoba Oil & Sea Kelp Non-Aerosol Hairspray,8.5 fl oz,$3.99,,0038151904050,https://www.kroger.com/p/aussie-sprunch-with-jojoba-oil-sea-kelp-non-aerosol-hairspray/0038151904050?fulfillment=PICKUP
Beauty,Shea Moisture Red Palm Oil & Cocoa Butter with Shea Butter Curl Stretch Pudding for Curly Hair,12 oz,$10.91,,0076430222602,https://www.kroger.com/p/shea-moisture-red-palm-oil-cocoa-butter-with-shea-butter-curl-stretch-pudding-for-curly-hair/0076430222602?fulfillment=PICKUP
Beauty,Shea Moisture Jamaican Black Castor Oil Strengthen & Restore Smoothie,11 fl oz,$11.41,,0076430221585,https://www.kroger.com/p/shea-moisture-jamaican-black-castor-oil-strengthen-restore-smoothie/0076430221585?fulfillment=PICKUP
Beauty,Shea Moisture Manuka Honey & Mafura Oil Leave-In Milk for Dry Hair,8 fl oz,$12.99,,0076430223143,https://www.kroger.com/p/shea-moisture-manuka-honey-mafura-oil-leave-in-milk-for-dry-hair/0076430223143?fulfillment=PICKUP
Beauty,Dove Moisturizing Deep Moisture Body Wash with Pump,34 oz,$10.49,,0001111139648,https://www.kroger.com/p/dove-moisturizing-deep-moisture-body-wash-with-pump/0001111139648?fulfillment=PICKUP
Beauty,Herbal Essences Body Envy Volumizing Hairspray with Citrus Essences,8 oz,$3.19,,0038151901959,https://www.kroger.com/p/herbal-essences-body-envy-volumizing-hairspray-with-citrus-essences/0038151901959?fulfillment=PICKUP
Health & Wellness,Carmex Classic Lip Balm Medicated Lip Protectant,0.35 oz,$1.29,,0008307811314,https://www.kroger.com/p/carmex-classic-lip-balm-medicated-lip-protectant/0008307811314?fulfillment=PICKUP
Health & Wellness,Celsius Tropical Vibe Sparkling Energy Drink,12 fl oz,2.00,,0088939202139,https://www.kroger.com/p/celsius-tropical-vibe-sparkling-energy-drink/0088939202139?fulfillment=PICKUP
Health & Wellness,Halls Relief Cherry Cough Drops,3.28 oz,$2.00, 2 For $4.00,0031254662749,https://www.kroger.com/p/halls-relief-cherry-cough-drops/0031254662749?fulfillment=PICKUP
Health & Wellness,Halls Relief Honey Lemon Menthol Cough Drops,3.28 oz,2.00, 2 For $4.00,0031254662869,https://www.kroger.com/p/halls-relief-honey-lemon-menthol-cough-drops/0031254662869?fulfillment=PICKUP
Health & Wellness,Celsius Sparkling Orange Dietary Supplement Energy Drink,12 fl oz,2.00,,0088939200031,https://www.kroger.com/p/celsius-sparkling-orange-dietary-supplement-energy-drink/0088939200031?fulfillment=PICKUP
Health & Wellness,Boost High Protein Very Vanilla Balanced Nutritional Drink,6 bottles / 8 fl oz,9.99,,0004167994166,https://www.kroger.com/p/boost-high-protein-very-vanilla-balanced-nutritional-drink/0004167994166?fulfillment=PICKUP
Health & Wellness,Boost High Protein Rich Chocolate Balanced Nutritional Drink,6 ct/ 8 fl oz,9.99,,0004167994066,https://www.kroger.com/p/boost-high-protein-rich-chocolate-balanced-nutritional-drink/0004167994066?fulfillment=PICKUP
Health & Wellness,Alani NU Breezeberry Energy Drink,12 fl oz,$2.79,,0081003051105,https://www.kroger.com/p/alani-nu-breezeberry-energy-drink/0081003051105?fulfillment=PICKUP
Health & Wellness,Rockstar Sugar Free Energy Drink,16 fl oz,2.00, 2 For $4.00,0081809400575,https://www.kroger.com/p/rockstar-sugar-free-energy-drink/0081809400575?fulfillment=PICKUP
Health & Wellness,Cortizone 10 Maximum Strength Intensive Healing Formula,1 oz,$5.49,,0004116700350,https://www.kroger.com/p/cortizone-10-maximum-strength-intensive-healing-formula/0004116700350?fulfillment=PICKUP
Health & Wellness,Red Bull Sugar Free Energy Drink,12 pk / 8.4 fl oz,$23.99,,0061126973373,https://www.kroger.com/p/red-bull-sugar-free-energy-drink/0061126973373?fulfillment=PICKUP
Health & Wellness,Red Bull Winter Edition Fig Apple,4 pk / 8.4 oz,6.99,,0061126900146,https://www.kroger.com/p/red-bull-winter-edition-fig-apple/0061126900146?fulfillment=PICKUP
Health & Wellness,Alani NU Cosmic Stardust Energy Drink,12 fl oz,$2.99,,0081003051002,https://www.kroger.com/p/alani-nu-cosmic-stardust-energy-drink/0081003051002?fulfillment=PICKUP
Health & Wellness,Q-tips Cotton Swabs,375 ct,$3.39,,0030521516328,https://www.kroger.com/p/q-tips-cotton-swabs/0030521516328?fulfillment=PICKUP
Health & Wellness,Red Bull The Red Edition Watermelon Energy Drink,12 pk / 8.4 fl oz,$23.99,,0061126900123,https://www.kroger.com/p/red-bull-the-red-edition-watermelon-energy-drink/0061126900123?fulfillment=PICKUP
Health & Wellness,Red Bull Energy Drink Sugar Free Variety Pack,12 pk / 8.4 fl oz,,,0061126900139,https://www.kroger.com/p/red-bull-energy-drink-sugar-free-variety-pack/0061126900139?fulfillment=PICKUP
Health & Wellness,Red Bull The Yellow Edition Energy Drink,12 pk / 8.4 fl oz,$23.99,,0061126919223,https://www.kroger.com/p/red-bull-the-yellow-edition-energy-drink/0061126919223?fulfillment=PICKUP
Health & Wellness,Java Monster Mean Bean Coffee + Energy Drink,15 fl oz,$3.29," Buy 2, Get 1 Free",0007084781260,https://www.kroger.com/p/java-monster-mean-bean-coffee-energy-drink/0007084781260?fulfillment=PICKUP
Health & Wellness,Rockstar Original Energy Drink,16 fl oz,2.00, 2 For $4.00,0081809400577,https://www.kroger.com/p/rockstar-original-energy-drink/0081809400577?fulfillment=PICKUP
Health & Wellness,Rockstar Punched Fruit Punch Energy Drink,16 fl oz,2.00, 2 For $4.00,0081809400574,https://www.kroger.com/p/rockstar-punched-fruit-punch-energy-drink/0081809400574?fulfillment=PICKUP
Apparel & Accessories,Kiwi Shoe Polish Paste - Black,1.125 oz,$4.99,,0003160010111,https://www.kroger.com/p/kiwi-shoe-polish-paste-black/0003160010111?fulfillment=PICKUP
Apparel & Accessories,KIWI Waxed Round Laces Pairs - 2 Pack - Black,27 in,$2.09,,0003160066314,https://www.kroger.com/p/kiwi-waxed-round-laces-pairs-2-pack-black/0003160066314?fulfillment=PICKUP
Apparel & Accessories,Kiwi Instant Wax Shine - Black,2.5 Oz,$6.99,,0003160011511,https://www.kroger.com/p/kiwi-instant-wax-shine-black/0003160011511?fulfillment=PICKUP
Apparel & Accessories,KIWI Outdoor Boot Laces Pair - Gold/Brown,72 in,$2.09,,0003160066460,https://www.kroger.com/p/kiwi-outdoor-boot-laces-pair-gold-brown/0003160066460?fulfillment=PICKUP
Apparel & Accessories,Kiwi Sport Athletic Laces - White,1 ct,$2.09,,0003160066639,https://www.kroger.com/p/kiwi-sport-athletic-laces-white/0003160066639?fulfillment=PICKUP
Apparel & Accessories,Kiwi Round Cord Dress Laces - 2 pk - Black,36 in,$2.09,,0003160066115,https://www.kroger.com/p/kiwi-round-cord-dress-laces-2-pk-black/0003160066115?fulfillment=PICKUP
Apparel & Accessories,Kiwi Lace Sport - White,36 in,$2.09,,0003160066636,https://www.kroger.com/p/kiwi-lace-sport-white/0003160066636?fulfillment=PICKUP
Apparel & Accessories,Kiwi Sport Shoe Laces - White,45 in,$2.09,,0003160066638,https://www.kroger.com/p/kiwi-sport-shoe-laces-white/0003160066638?fulfillment=PICKUP
Apparel & Accessories,KIWI Color Shine Premium Instant Shoe Polish,2.5 fl oz,$6.99,,0003160011311,https://www.kroger.com/p/kiwi-color-shine-premium-instant-shoe-polish/0003160011311?fulfillment=PICKUP
Apparel & Accessories,KIWI Outdoor Round Boot Laces Pair - Black,54 in,$2.09,,0003160066420,https://www.kroger.com/p/kiwi-outdoor-round-boot-laces-pair-black/0003160066420?fulfillment=PICKUP
Apparel & Accessories,KIWI Shoe Polish - Brown,1.125 oz,$4.99,,0003160010113,https://www.kroger.com/p/kiwi-shoe-polish-brown/0003160010113?fulfillment=PICKUP
Apparel & Accessories,KIWI Sport Oval Laces - Black,45 in,$2.09,,0003160063392,https://www.kroger.com/p/kiwi-sport-oval-laces-black/0003160063392?fulfillment=PICKUP
Apparel & Accessories,Hanes Men's Cushion Crew Socks - 6 pk - White,6-12,,,0003825751197,https://www.kroger.com/p/hanes-men-s-cushion-crew-socks-6-pk-white/0003825751197?fulfillment=PICKUP
Apparel & Accessories,KIWI Outdoor Boot Laces Pair - Black,72 in,$2.09,,0003160066422,https://www.kroger.com/p/kiwi-outdoor-boot-laces-pair-black/0003160066422?fulfillment=PICKUP
Apparel & Accessories,KIWI Black Hiking Boots Laces Pair - Black / Sandstone,1 ct,$2.09,,0003160066232,https://www.kroger.com/p/kiwi-black-hiking-boots-laces-pair-black-sandstone/0003160066232?fulfillment=PICKUP
Apparel & Accessories,Kiwi Paste Polish - Neutral,1.12 Oz,$4.99,,0003160010114,https://www.kroger.com/p/kiwi-paste-polish-neutral/0003160010114?fulfillment=PICKUP
Baby,Comforts Pear Strawberry & Cherry Stage 2 Baby Food Puree Pouch,4 oz,,,0004126001424,https://www.kroger.com/p/comforts-pear-strawberry-cherry-stage-2-baby-food-puree-pouch/0004126001424?fulfillment=PICKUP
Baby,Johnson's Cornstarch Baby Powder,,,,0038137003058,https://www.kroger.com/p/johnson-s-cornstarch-baby-powder/0038137003058?fulfillment=PICKUP
Baby,Comforts Strawberry Fruit Crisps Snack,0.26 oz,0.99,,0004126038101,https://www.kroger.com/p/comforts-strawberry-fruit-crisps-snack/0004126038101?fulfillment=PICKUP
Baby,Comforts Apple Fruit Crisps Snack,0.35 oz,0.99,,0004126037264,https://www.kroger.com/p/comforts-apple-fruit-crisps-snack/0004126037264?fulfillment=PICKUP
Baby,Comforts Banana Blueberry & Oatmeal Stage 2 Baby Food Puree Pouches 6-Pack,6 ct / 4 oz,$4.29,,0004126033015,https://www.kroger.com/p/comforts-banana-blueberry-oatmeal-stage-2-baby-food-puree-pouches-6-pack/0004126033015?fulfillment=PICKUP
Baby,Royal Family Baby Wipes,80 ct,$1.19,,0082123941015,https://www.kroger.com/p/royal-family-baby-wipes/0082123941015?fulfillment=PICKUP
Baby,Comforts Carrot & Apple Stage 2 Baby Food Puree Pouch,4 oz,$0.89,,0004126036809,https://www.kroger.com/p/comforts-carrot-apple-stage-2-baby-food-puree-pouch/0004126036809?fulfillment=PICKUP
Baby,Huggies Simply Clean Unscented Baby Wipes,,,,0003600048762,https://www.kroger.com/p/huggies-simply-clean-unscented-baby-wipes/0003600048762?fulfillment=PICKUP
Baby,Huggies Natural Care Refreshing Scented Baby Wipes,,,,0003600053612,https://www.kroger.com/p/huggies-natural-care-refreshing-scented-baby-wipes/0003600053612?fulfillment=PICKUP
Baby,Comforts Pear Peach Raspberry & Quinoa Stage 2 Baby Food Puree Pouch,4 oz,$0.89,,0004126033017,https://www.kroger.com/p/comforts-pear-peach-raspberry-quinoa-stage-2-baby-food-puree-pouch/0004126033017?fulfillment=PICKUP
Baby,Comforts Stage 2 Baby Food Puree Pouches Big Deal! Variety Pack,12 ct / 4 oz,$7.49,,0004126000401,https://www.kroger.com/p/comforts-stage-2-baby-food-puree-pouches-big-deal-variety-pack/0004126000401?fulfillment=PICKUP
Baby,Comforts Green Bean & Pear Stage 2 Baby Food Puree Pouch,4 oz,$0.89,,0004126036808,https://www.kroger.com/p/comforts-green-bean-pear-stage-2-baby-food-puree-pouch/0004126036808?fulfillment=PICKUP
Baby,Gerber 2nd Foods Organic Oatmeal Banana Stage 2 Cereal,8 oz,$4.19,,0001500021015,https://www.kroger.com/p/gerber-2nd-foods-organic-oatmeal-banana-stage-2-cereal/0001500021015?fulfillment=PICKUP
Baby,Comforts Banana Blackberry Stage 2 Baby Food Puree Pouch,4 oz,$0.89,,0004126033014,https://www.kroger.com/p/comforts-banana-blackberry-stage-2-baby-food-puree-pouch/0004126033014?fulfillment=PICKUP
Baby,Comforts Cinnamon Apple & Oatmeal Stage 2 Baby Food Puree Pouch,4 oz,$0.89,,0004126037524,https://www.kroger.com/p/comforts-cinnamon-apple-oatmeal-stage-2-baby-food-puree-pouch/0004126037524?fulfillment=PICKUP
Baby,Gerber Organic Grain & Grow Morning Bowl Summer Berries Baby Cereal,4.5 oz,$2.99,,0001500097486,https://www.kroger.com/p/gerber-organic-grain-grow-morning-bowl-summer-berries-baby-cereal/0001500097486?fulfillment=PICKUP
Baby,Comforts Banana Blueberry & Oatmeal Stage 2 Baby Food Puree Pouch,4 oz,$0.89,,0004126036811,https://www.kroger.com/p/comforts-banana-blueberry-oatmeal-stage-2-baby-food-puree-pouch/0004126036811?fulfillment=PICKUP
Baby,Gerber Grain & Grow Stage 2 MultiGrain Cereal,8 oz,$2.89,,0001500007003,https://www.kroger.com/p/gerber-grain-grow-stage-2-multigrain-cereal/0001500007003?fulfillment=PICKUP
Baby,Pampers Complete Clean Unscented Baby Wipes Pop-Top Pack,,,,0003700075467,https://www.kroger.com/p/pampers-complete-clean-unscented-baby-wipes-pop-top-pack/0003700075467?fulfillment=PICKUP
Baby,Pampers Sensitive Fragrance Free Baby Wipes,,,,0003700087076,https://www.kroger.com/p/pampers-sensitive-fragrance-free-baby-wipes/0003700087076?fulfillment=PICKUP
School & Office,BIC Wite-Out Quick Dry Correction Fluid - White,1 ct,$2.99,,0007033050604,https://www.kroger.com/p/bic-wite-out-quick-dry-correction-fluid-white/0007033050604?fulfillment=PICKUP
School & Office,Pilot G2 Comfort Grip Fine Point Premium Gel Roller Pens - Black,2 pk,2.79,,0007283831031,https://www.kroger.com/p/pilot-g2-comfort-grip-fine-point-premium-gel-roller-pens-black/0007283831031?fulfillment=PICKUP
School & Office,Gorilla Impact-Tough Super Glue,0.53 oz,$6.49,,0005242778050,https://www.kroger.com/p/gorilla-impact-tough-super-glue/0005242778050?fulfillment=PICKUP
Sporting Goods,Intex Elevated Dura Beam Fiber Tech Airbed w/ Built In Pump,queen,$69.99,,0007825732814,https://www.kroger.com/p/intex-elevated-dura-beam-fiber-tech-airbed-w-built-in-pump/0007825732814?fulfillment=PICKUP
